Name,Address,Suburb,Postcode,Phone,Email Address,Fax,LHD,Hospital Website,ED,Latitude,Longitude
Narromine Hospital & Community Health,128 Cathundril Street,Narromine,2821,02 6889 1377,,02 6889 2371,Western NSW Local Health District,,Not reporting wait times,-32.2430128,148.2393867
Nepean Hospital,Derby Street,Kingswood,2747,02 4734 2000,,02 4734 2904,Nepean Blue Mountains Local Health District,,Reporting wait times,-33.7615473,150.7149573
Neringah Hospital,4-12 Neringah Avenue South,Wahroonga,2076,02 9488 2200,,NULL,Northern Sydney Local Health District,,No emergency department,-33.7176426,151.1145893
Nimbin Multi-Purpose Service,35 Cullen Street,Nimbin,2480,02 6689 1400,,02 6689 1044,Northern NSW Local Health District,,Not reporting wait times,-28.5974783,153.223147
Nimbin Residential Aged Care,35 Cullen Street,Nimbin,2480,02 6689 1400,,NULL,Northern NSW Local Health District,,No emergency department,-28.5974783,153.223147
Northern Beaches Hospital,105 Frenchs Forest Road W,Frenchs Forest,2086,02 9105 5000,,,Northern Sydney Local Health District,,Reporting wait times,-33.7510335,151.2331949
Nyngan Multi-Purpose Service,15 Hoskins Street,Nyngan,2825,02 6835 1700,,02 6832 2015,Western NSW Local Health District,,Not reporting wait times,-31.5618416,147.202262
Nyngan Residential Aged Care,15 Hoskins Street,Nyngan,2825,02 6835 1700,,NULL,Western NSW Local Health District,,No emergency department,-31.5618416,147.202262
Oberon Health Service,75 North Street,Oberon,2787,02 6336 7200,,02 6336 1999,Western NSW Local Health District,,Not reporting wait times,-33.7053936,149.8530251
Oberon Residential Aged Care,North Street,Oberon,2787,02 6336 7200,,NULL,Western NSW Local Health District,,No emergency department,-33.704919,149.8539148
Orange Health Service,1502 Forest Road,Orange,2800,02 6369 3000,,02 6393 3593,Western NSW Local Health District,,Reporting wait times,-33.3193585,149.0908697
Pambula District Hospital,Merimbola Street,Pambula,2549,02 6495 8200,,02 6495 6570,Southern NSW Local Health District,,Not reporting wait times,-36.9301644,149.8769882
Parkes District Hospital,18 Coleman Road,Parkes,2870,(02) 6861 2400,,02 6862 3921,Western NSW Local Health District,,Not reporting wait times,-33.1356614,148.1744534
Peak Hill Health Service,Newell Highway,Peak Hill,2869,02 6869 5200,,02 6869 5280,Western NSW Local Health District,,Not reporting wait times,-32.671618,148.1966504
Peg Cross Nursing Home,Fox Street ,Walgett,2832,02 6828 6000,,NULL,Western NSW Local Health District,,No emergency department,-30.0266467,148.1158272
Port Kembla Hospital,Cowper Street,Port Kembla,2505,02 4223 8000,,02 4223 8025,Illawarra Shoalhaven Local Health District,,No emergency department,-34.4856695,150.8932756
Port Macquarie Base Hospital,Wrights Rd,Port Macquarie,2444,02 6581 2000,,02 6580 1110,Mid North Coast Local Health District,,Reporting wait times,-31.4529419,152.8766686
Portland Tabulam Health Centre,20 Green Street,Portland,2847,02 6359 2666,,02 6355 5007,Nepean Blue Mountains Local Health District,,No emergency department,45.515232,-122.6783853
Prince of Wales Hospital,Barker Street,Randwick,2031,02 9382 2222,,02 9382 2033,South Eastern Sydney Local Health District,,Reporting wait times,-33.9203789,151.2334502
Queanbeyan District Hospital,Corner Erin & Collett Streets,Queanbeyan,2620,02 6298 9211,,02 6299 1536,Southern NSW Local Health District,,Not reporting wait times,-35.349888,149.2348553
Queen Victoria Memorial Home,615 Thirlmere Way,Picton,2571,02 4683 6900,,02 4683 6910,South Western Sydney Local Health District,,No emergency department,-34.1880501,150.5964282
Quirindi Community Hospital,Nowland Street,Quirindi,2343,02 6746 0200,,02 6746 2002,Hunter New England Local Health District,,Not reporting wait times,-31.5003048,150.6792606
Royal Hospital for Women,Barker Street,Randwick,2031,02 9382 6111,,02 9382 6513,South Eastern Sydney Local Health District,,No emergency department,-33.9203789,151.2334502
Royal North Shore Hospital,Pacific Highway,St Leonards,2065,02 9926 7111,,02 9926 7779,Northern Sydney Local Health District,,Reporting wait times,-33.8240408,151.1925465
Royal Prince Alfred Hospital,Missenden Road,Camperdown,2050,02 9515 6111,,02 9515 6133,Sydney Local Health District,,Reporting wait times,-33.8895437,151.1821121
Royal Rehabilitation Hospital - Coorabel/Moorong,227 Morrison Road,Ryde,2112,02 9807 1144,,NULL,Northern Sydney Local Health District,,No emergency department,-33.8227129,151.1079628
Ryde Hospital,Denistone Road,Eastwood,2122,02 9874 0199,,02 9874 5414,Northern Sydney Local Health District,,Reporting wait times,-33.7935184,151.0891159
Rylstone Multi-Purpose Health Service,Fitzgerald Street,Rylstone,2849,02 6357 8100,,02 6357 8112,Western NSW Local Health District,,Not reporting wait times,-32.8035507,149.9754755
Sacred Heart Hospice,170 Darlinghurst Road,Darlinghurst ,2010,02 8382 9444,,NULL,St Vincent's Health Network,,No emergency department,-33.8805039,151.2193036
"Scott Memorial Hospital, Scone",Stafford Street,Scone,2337,02 6540 2100,,02 6540 2180,Hunter New England Local Health District,,Not reporting wait times,-32.051912,150.8760501
Shellharbour Hospital,15-17 Madigan Boulevarde,Mt Warrigal,2528,02 4295 2500,,02 4295 2497,Illawarra Shoalhaven Local Health District,,Reporting wait times,-34.5580615,150.842578
Shoalhaven Hospital,Shoalhaven Street,Nowra,2541,02 4421 3111,,02 4421 4967,Illawarra Shoalhaven Local Health District,,Reporting wait times,-34.8756087,150.5954772
Singleton District Hospital,Dangar Road,Singleton,2330,02 6571 9222,,02 6571 9282,Hunter New England Local Health District,,Reporting wait times,-32.56643,151.1872202
Springwood Hospital,Huntley Grange Road,Springwood,2777,02 4751 0300,,02 4751 0388,Nepean Blue Mountains Local Health District,,No emergency department,-33.6907523,150.5704119
St Catherines Villa Nursing Home,162-166 Balaclava Road,Eastwood,2122,02 9805 1655,,NULL,Northern Sydney Local Health District,,No emergency department,-33.7791301,151.1041405
St George Hospital,Belgrave Street,Kogarah,2217,02 9113 1111,,02 9350 3960,South Eastern Sydney Local Health District,,Reporting wait times,-33.9648938,151.1335199
St John of God Hospital,234 Bourke Street,Goulburn,2580,02 4823 7800,,02 4821 9659,Southern NSW Local Health District,,No emergency department,-34.7487214,149.7193201
St Joseph's Hospital,Normanby Road,Auburn,2144,02 9649 8941,,02 9649 7092,St Vincent's Health Network,,No emergency department,-33.8474022,151.0278106
St Vincent's Hospital,390 Victoria Street,Darlinghurst,2010,02 8382 1111,,02 9332 4142,St Vincent's Health Network,,Reporting wait times,-33.8802174,151.2208943
Sutherland Hospital & Community Health Service,Cnr The Kingsway and Kareena Road ,Caringbah,2229,02 9540 7111,,02 9540 7197,South Eastern Sydney Local Health District,,Reporting wait times,-34.0351831,151.1132717
Sydney Children's Hospital,High Street,Randwick,2031,02 9382 1111,,02 9382 1451,Sydney Children's Hospitals Specialty Network,,Reporting wait times,-33.9160451,151.234332
Sydney Hospital & Sydney Eye Hospital,8 Macquarie Street,Sydney,2001,02 9382 7111,,02 9382 7320,South Eastern Sydney Local Health District,,Reporting wait times,-33.868262,151.2126624
Tabulam Residential Aged Care,20 Green Street,Portland,2847,02 6359 2666,,NULL,Nepean Blue Mountains Local Health District,,No emergency department,45.515232,-122.6783853
Tamworth Rural Referral Hospital,Dean Street ,Tamworth,2340,02 6767 7700,,02 6766 1027,Hunter New England Local Health District,,Reporting wait times,-31.0762739,150.9227532
Temora Hospital,169 Temora Young Road,Temora,2666,02 6977 1066,,02 6977 1545,Murrumbidgee Local Health District,,Not reporting wait times,-34.4218603,147.5812219
Tenterfield Community Hospital,Naas St,Tenterfield,2372,02 6739 5200,,02 6736 2960,Hunter New England Local Health District,,Not reporting wait times,-29.0456641,152.0211892
The Children's Hospital at Westmead,Cnr Hawkesbury Rd and Hainsworth St,Westmead,2145,02 9845 0000,,02 9845 3489,Sydney Children's Hospitals Specialty Network,,Reporting wait times,-33.8026225,150.9922912
The Cootamundra Hospital,Mackay Street,Cootamundra,2590,02 6942 0444,,02 6942 0433,Murrumbidgee Local Health District,,Not reporting wait times,-34.638807,148.0201082
The New Maitland Hospital,51 Metford Road,Metford,2323,02 4087 1000,,,Hunter New England Local Health District,,Reporting wait times,-32.7584588,151.6045257
The Tweed Hospital,Powell Street,Tweed Heads,2485,07 5536 1133,,07 5506 7411,Northern NSW Local Health District,,Reporting wait times,-28.1760613,153.5443193
Tingha Multi Purpose Service,13997 Guyra Road,Tingha,2369,02 6723 3266,,02 6723 3509,Hunter New England Local Health District,,Not reporting wait times,-29.9509278,151.2063966
Tingha Residential Aged Care,13997 Guyra Road,Tingha,2369,02 6723 3266,,NULL,Hunter New England Local Health District,,No emergency department,-29.9509278,151.2063966
Tocumwal Hospital,Adams Street,Tocomwal,2714,03 5874 2166,,03 5874 2321,Murrumbidgee Local Health District,,Not reporting wait times,-35.8117304,145.5647755
Tomaree Community Hospital,Trevally Street,Nelson Bay,2315,02 4984 0700,,02 4984 0710,Hunter New England Local Health District,,Not reporting wait times,-32.7210557,152.157435
Tottenham Hospital,Umang Street,Tottenham,2873,02 6891 6200,,02 6892 4091,Western NSW Local Health District,,Not reporting wait times,-32.2431846,147.3489493
Tottenham Residential Aged Care,Umang Street,Tottenham,2873,02 6892 4003,,NULL,Western NSW Local Health District,,No emergency department,-32.2431846,147.3489493
Trangie Multi-Purpose Health Service,28 Harris Street,Trangie,2823,02 6880 8200,,02 6888 7605,Western NSW Local Health District,,Not reporting wait times,-32.0305821,147.9770039
Trangie Residential Aged Care,29 Harris Street,Trangie,2823,02 6888 7546,,NULL,Western NSW Local Health District,,No emergency department,-32.029054,147.974302
Trundle Multi-Purpose Service,Brookview Street,Trundle,2875,02 6892 1051,,02 6892 1233,Western NSW Local Health District,,Not reporting wait times,-32.9212684,147.7048994
Trundle Residential Aged Care,Brookview Street,Trundle,2875,02 6892 1051,,NULL,Western NSW Local Health District,,No emergency department,-32.9212684,147.7048994
Tullamore Health Service,1 Hinkler Street,Tullamore,2874,02 6892 5003,,02 6892 5166,Western NSW Local Health District,,Not reporting wait times,-32.634702,147.5688284
Tullamore Residential Aged Care,1 Hinkler Street,Tullamore,2874,02 6892 5003,,NULL,Western NSW Local Health District,,No emergency department,-32.634702,147.5688284
Tumbarumba Multi Purpose Service,Mitchell Street,Tumbarumba,2653,02 6948 9600,,02 6948 2263,Murrumbidgee Local Health District,,Not reporting wait times,-35.7797981,148.0055302
Tumbarumba Residential Aged Care,4 Mitchell Street,Tumbarumba,2653,02 6948 9600,,NULL,Murrumbidgee Local Health District,,No emergency department,-35.7789709,148.006113
Tumut District Hospital,Simpson Street,Tumut,2720,02 6947 0800,,02 6947 3074,Murrumbidgee Local Health District,,Not reporting wait times,-35.3096255,148.2219555
Urana Health Service,Cnr Church and Princess St,Urana,2645,02 6920 8106,,02 6920 8263,Murrumbidgee Local Health District,,Not reporting wait times,-35.3266503,146.2672709
Urana Residential Aged Care,Corner of Church and Princess St,Urana,2645,02 6920 8106,,NULL,Murrumbidgee Local Health District,,No emergency department,-35.3266503,146.2672709
Urbenville Health Service,45 Beaury Street,Urbenville,2475,02 6948 1319,,02 6634 1311,Northern NSW Local Health District,,Not reporting wait times,-28.4715553,152.5432704
Urbenville Residential Aged Care,45 Beaury Street,Urbenville,2475,02 6948 1319,,NULL,Northern NSW Local Health District,,No emergency department,-28.4715553,152.5432704
Vegetable Creek Hospital,13-33 Glen Innes Road,Emmaville,2371,02 6734 7900,,02 6734 7990,Hunter New England Local Health District,,Not reporting wait times,-29.4501659,151.598824
Wagga Wagga Base Hospital,Docker Street,Wagga Wagga,2650,02 5943 1000,,02 6921 5632,Murrumbidgee Local Health District,,Reporting wait times,-35.1155881,147.3567697
Walcha Multi Purpose Service,11 South Middle Street,Walcha,2354,02 6774 2366,,02 6777 1458,Hunter New England Local Health District,,Not reporting wait times,-30.9866117,151.5987165
Walcha Residential Aged Care,South Street,Walcha,2354,02 6774 2400,,NULL,Hunter New England Local Health District,,No emergency department,-30.9828317,151.5913061
Walgett Health Service,141 Fox Street,Walgett,2832,02 6828 6000,,02 6828 2194,Western NSW Local Health District,,Not reporting wait times,-30.0307001,148.1160719
Wallsend Aged Care Facility,15 Nash Street,Wallsend,2287,02 4924 6100,,NULL,Hunter New England Local Health District,,No emergency department,-32.8994325,151.6790987
War Memorial Hospital,125 Birrell Street,Waverley,2024,02 9369 0100,,02 9387 7018,South Eastern Sydney Local Health District,,No emergency department,-33.8978076,151.2533971
Warialda Multi Purpose Service,Long Street,Warialda,2402,02 6728 9000,,02 6729 1208,Hunter New England Local Health District,,Not reporting wait times,-29.5381921,150.574126
Warren Multi-Purpose Health Service,Dr Kater Drive,Warren,2824,02 6847 7200,,02 6847 3099,Western NSW Local Health District,,Not reporting wait times,-31.694173,147.8375187
Warren Residential Aged Care,Dr Kater Drive,Warren,2824,02 6847 7200,,NULL,Western NSW Local Health District,,No emergency department,-31.694173,147.8375187
Wauchope District Memorial Hospital,69 High Street,Wauchope,2446,02 6585 1300,,02 6585 3741,Mid North Coast Local Health District,,No emergency department,-31.4575047,152.7280713
Wee Waa Community Hospital,Alma Street,Wee Waa,2388,02 6795 0400,,02 6795 4905,Hunter New England Local Health District,,Not reporting wait times,-30.2247302,149.4482725
Wellington Health Service,Gisborne Street,Wellington,2820,02 6840 7200,,02 6845 2100,Western NSW Local Health District,,Not reporting wait times,-41.2923814,174.7787463
Wentworth District Hospital,Silver City Hwy,Wentworth,2648,03 5027 2345,,03 5027 3099,Far West Local Health District,,Not reporting wait times,-33.8130806,141.8056803
Werris Creek Community Hospital,North Street,Werris Creek,2341,02 6768 6600,,02 6768 7775,Hunter New England Local Health District,,Not reporting wait times,-31.3473627,150.6503635
Westmead Hospital,Cnr Hawkesbury & Darcy Road,Westmead,2145,02 8890 5555,,02 9845 5000,Western Sydney Local Health District,,Reporting wait times,-33.8066799,150.9881934
Wilcannia Multi-Purpose Service,14 Ross Street,Wilcannia,2836,08 8083 8777,,08 8091 5839,Far West Local Health District,,Not reporting wait times,-31.5563951,143.3853221
Wilcannia Residential Age Care,Ross Street,Wilcannia,2836,08 8083 8777,,NULL,Far West Local Health District,,No emergency department,-31.5565918,143.3848171
"Wilson Memorial Community Hospital, Murrurundi",Cnr O'Connell & Paradise Rd,Murrurundi,2338,02 6546 9000,,02 6546 9005,Hunter New England Local Health District,,Not reporting wait times,-31.7697304,150.8359976
Wingham Community Hospital,32 Bungay Road,Wingham,2429,02 6557 3400,,02 6553 0045,Hunter New England Local Health District,,No emergency department,-31.8772825,152.3660961
Wollongong Hospital,Loftus Street,Wollongong,2500,02 4222 5000,,02 4222 5313,Illawarra Shoalhaven Local Health District,,Reporting wait times,-34.4243145,150.8855315
Woy Woy Public Hospital,Ocean Beach Road,Woy Woy,2256,02 4344 8444,,02 4344 8555,Central Coast Local Health District,,No emergency department,-33.508197,151.3190327
Wyalong Hospital,70 Ungarie Road,West Wyalong,2671,02 6979 0000,,02 6979 0006,Murrumbidgee Local Health District,,Not reporting wait times,-33.9164404,147.1967518
Wyong Public Hospital,Pacific Highway,Kanwal,2259,02 4394 8000,,02 4393 8333,Central Coast Local Health District,,Reporting wait times,-33.2592524,151.485053
Yass District Hospital,Meehan Street,Yass,2582,(02) 6220 2000,,02 6226 2944,Southern NSW Local Health District,,Not reporting wait times,-34.8407312,148.9135486
Young District Hospital,Allanan Street,Young,2594,02 6382 8888,,02 6382 4398,Murrumbidgee Local Health District,,Not reporting wait times,-34.3210416,148.2930958
